file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,158,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,13
style.css,159,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,11
style.css,160,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,31
style.css,161,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,162,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,163,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,15
style.css,164,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,13
style.css,165,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,20
style.css,166,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,26
style.css,167,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,168,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,169,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,21
style.css,170,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,13
style.css,171,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,172,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,173,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,15
style.css,174,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,17
style.css,175,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,13
style.css,176,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,17
style.css,177,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,37
style.css,178,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,179,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,180,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,21
style.css,181,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,24
style.css,182,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,183,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,184,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,10
style.css,185,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,13
style.css,186,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,24
style.css,187,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,21
style.css,188,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,31
style.css,189,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,17
style.css,190,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,20
style.css,191,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,16
style.css,192,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,13
style.css,193,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,194,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,195,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,10
style.css,196,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,13
style.css,197,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,8
style.css,198,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,16
style.css,199,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,13
style.css,200,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,201,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,202,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,13
style.css,203,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,19
style.css,204,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,13
style.css,205,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,206,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,207,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,8
style.css,208,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,13
style.css,209,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,16
style.css,210,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,11
style.css,211,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,15
style.css,212,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,213,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,214,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,10
style.css,215,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,8
style.css,216,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,16
style.css,217,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,20
style.css,218,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,219,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,220,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,10
style.css,221,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,19
style.css,222,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,15
style.css,223,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,13
style.css,224,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,225,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,0
style.css,226,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,0,18
style.css,227,css,3ff71deb,ChinmayB,2025-04-11,17:27:05,-07:00,2025-04-11T17:27:05-07:00,1,11
